country,iso2,iso3,iso_numeric,g_whoregion,year,e_pop_num,e_inc_100k,e_inc_100k_lo,e_inc_100k_hi,e_inc_num,e_inc_num_lo,e_inc_num_hi,e_tbhiv_prct,e_tbhiv_prct_lo,e_tbhiv_prct_hi,e_inc_tbhiv_100k,e_inc_tbhiv_100k_lo,e_inc_tbhiv_100k_hi,e_inc_tbhiv_num,e_inc_tbhiv_num_lo,e_inc_tbhiv_num_hi,e_mort_exc_tbhiv_100k,e_mort_exc_tbhiv_100k_lo,e_mort_exc_tbhiv_100k_hi,e_mort_exc_tbhiv_num,e_mort_exc_tbhiv_num_lo,e_mort_exc_tbhiv_num_hi,e_mort_tbhiv_100k,e_mort_tbhiv_100k_lo,e_mort_tbhiv_100k_hi,e_mort_tbhiv_num,e_mort_tbhiv_num_lo,e_mort_tbhiv_num_hi,e_mort_100k,e_mort_100k_lo,e_mort_100k_hi,e_mort_num,e_mort_num_lo,e_mort_num_hi,cfr,cfr_lo,cfr_hi,cfr_pct,cfr_pct_lo,cfr_pct_hi,c_newinc_100k,c_cdr,c_cdr_lo,c_cdr_hi
Pakistan,PK,PAK,586,EMR,2000,154879125,275,174,399,427000,270000,618000,0.03,,,0.08,0,0.31,130,2,480,38,33,42,58000,52000,65000,0.01,0.01,0.02,20,11,31,38,33,42,58000,52000,65000,0.14,0.09,0.21,14,9,21,7.1,2.6,1.8,4.1
Pakistan,PK,PAK,586,EMR,2001,159270907,275,174,399,439000,278000,636000,0,,,0,0,0,0,0,0,36,32,41,58000,52000,65000,0,0,0,0,0,0,36,32,41,58000,52000,65000,0.14,0.09,0.2,14,9,20,13,4.7,3.3,7.5
Pakistan,PK,PAK,586,EMR,2002,163222547,275,174,399,450000,284000,652000,0,,,0,0,0,0,0,0,36,32,40,58000,51000,65000,0,0,0,0,0,0,36,32,40,58000,51000,65000,0.13,0.09,0.19,13,9,19,30,11,7.4,17
Pakistan,PK,PAK,586,EMR,2003,167110244,276,174,400,460000,291000,668000,0.04,,,0.1,0,0.38,170,3,640,35,31,39,58000,52000,64000,0.02,0.01,0.04,40,23,62,35,31,39,58000,52000,65000,0.13,0.08,0.19,13,8,19,42,15,10,24
Pakistan,PK,PAK,586,EMR,2004,171286004,276,174,400,472000,299000,685000,0.11,,,0.31,0.01,1.2,540,10,2100,34,30,38,58000,51000,65000,0.04,0.02,0.07,74,42,110,34,30,38,58000,51000,65000,0.13,0.08,0.18,13,8,18,55,20,14,32
Pakistan,PK,PAK,586,EMR,2005,175453215,276,174,400,484000,306000,701000,0.23,,,0.63,0.01,2.4,1100,21,4200,32,28,36,56000,50000,63000,0.1,0.05,0.15,170,96,260,32,29,36,57000,50000,64000,0.12,0.08,0.18,12,8,18,81,29,20,46
Pakistan,PK,PAK,586,EMR,2006,179682693,276,174,400,495000,313000,718000,0.39,,,1.1,0.02,4.1,1900,37,7300,31,27,35,56000,49000,63000,0.19,0.11,0.3,350,200,530,31,27,35,56000,49000,63000,0.12,0.07,0.17,12,7,17,99,36,25,57
Pakistan,PK,PAK,586,EMR,2007,184493228,276,174,400,508000,322000,737000,0.57,,,1.6,0.03,6,2900,56,11000,30,26,34,55000,48000,63000,0.32,0.18,0.49,590,330,910,30,26,34,56000,48000,63000,0.11,0.07,0.17,11,7,17,125,45,31,72
Pakistan,PK,PAK,586,EMR,2008,189499115,276,174,400,522000,330000,757000,0.77,,,2.1,0.04,8.1,4000,77,15000,29,25,33,55000,48000,63000,0.47,0.27,0.73,890,510,1400,30,26,34,56000,48000,64000,0.11,0.07,0.16,11,7,16,130,47,32,74
Pakistan,PK,PAK,586,EMR,2009,194376530,276,174,400,536000,339000,777000,0.97,,,2.7,0.05,10,5200,100,20000,28,24,33,55000,47000,63000,0.67,0.38,1,1300,740,2000,29,25,33,56000,48000,65000,0.11,0.07,0.16,11,7,16,136,49,34,78
Pakistan,PK,PAK,586,EMR,2010,199239045,276,174,400,549000,347000,796000,0.3,,,0.83,0.02,3.2,1600,32,6300,26,23,30,53000,45000,60000,0.37,0.01,1.4,740,14,2800,27,23,31,53000,46000,61000,0.1,0.06,0.15,10,6,15,133,48,33,76
Pakistan,PK,PAK,586,EMR,2011,203746063,276,174,400,562000,355000,815000,1.3,,,3.7,0.07,14,7500,140,29000,26,21,31,53000,43000,63000,1.2,0.68,1.8,2400,1400,3700,27,22,33,55000,45000,66000,0.1,0.06,0.15,10,6,15,130,47,33,75
Pakistan,PK,PAK,586,EMR,2012,207667121,276,174,400,572000,362000,830000,1.5,,,4.1,0.08,16,8400,160,32000,25,20,30,52000,42000,63000,1.5,0.85,2.3,3100,1800,4800,27,21,32,55000,44000,67000,0.1,0.06,0.15,10,6,15,129,47,32,74
Pakistan,PK,PAK,586,EMR,2013,211073973,275,174,399,581000,368000,841000,1.6,,,4.3,0.08,16,9000,170,35000,24,20,28,51000,43000,59000,1.9,0.04,7.1,3900,75,15000,26,21,32,55000,44000,67000,0.1,0.06,0.15,10,6,15,137,50,34,79
Pakistan,PK,PAK,586,EMR,2014,214264643,270,173,389,579000,370000,833000,1.6,,,4.3,0.08,16,9200,180,35000,23,19,27,50000,42000,59000,1.8,0.03,6.7,3800,73,14000,25,20,31,54000,43000,66000,0.1,0.06,0.14,10,6,14,144,53,37,83
Pakistan,PK,PAK,586,EMR,2015,217290884,270,178,381,587000,387000,827000,0.5,,,1.4,0.03,5.1,2900,59,11000,23,19,27,49000,41000,59000,0.54,0.01,2.1,1200,23,4500,23,19,28,50000,42000,60000,0.09,0.06,0.13,9,6,13,149,55,39,84
Pakistan,PK,PAK,586,EMR,2016,220138861,268,190,360,591000,418000,793000,0.54,,,1.4,0.03,5.5,3200,68,12000,22,18,26,48000,40000,58000,0.53,0.01,2,1200,24,4400,22,18,27,49000,40000,59000,0.09,0.06,0.12,9,6,12,162,60,45,85
Pakistan,PK,PAK,586,EMR,2017,223273959,267,188,359,595000,420000,801000,0.46,,,1.2,0.03,4.6,2700,59,10000,21,17,25,47000,38000,57000,0.45,0.01,1.7,1000,21,3800,22,18,26,48000,39000,58000,0.08,0.06,0.12,8,6,12,161,60,45,86
Pakistan,PK,PAK,586,EMR,2018,226928904,265,187,356,601000,425000,807000,0.68,,,1.8,0.04,6.8,4100,88,15000,20,16,25,46000,37000,56000,0.66,0.01,2.5,1500,32,5700,21,17,25,47000,38000,58000,0.08,0.05,0.11,8,5,11,159,60,45,85
Pakistan,PK,PAK,586,EMR,2019,230800896,263,187,353,608000,431000,814000,0.9,,,2.4,0.05,8.9,5500,120,21000,19,16,24,45000,36000,55000,0.96,0.02,3.6,2200,47,8400,20,16,25,47000,37000,58000,0.08,0.05,0.11,8,5,11,142,54,40,76
Pakistan,PK,PAK,586,EMR,2020,235001745,260,185,351,610000,434000,824000,0.72,,,1.9,0.04,7.1,4400,94,17000,21,17,26,50000,40000,62000,0.88,0.02,3.3,2100,43,7900,22,17,28,52000,41000,66000,0.09,0.06,0.12,9,6,12,116,45,33,63
Pakistan,PK,PAK,586,EMR,2021,239477804,270,191,366,646000,458000,876000,0.54,,,1.5,0.03,5.5,3500,75,13000,23,18,28,54000,43000,67000,0.61,0.01,2.3,1500,31,5500,23,18,30,56000,44000,71000,0.09,0.06,0.13,9,6,13,142,53,39,74
Pakistan,PK,PAK,586,EMR,2022,243700671,275,194,371,671000,473000,904000,0.36,,,1,0.02,3.8,2400,52,9200,20,16,25,49000,38000,62000,0.34,0.01,1.3,840,18,3200,20,16,26,50000,38000,64000,0.08,0.05,0.11,8,5,11,174,63,47,90
Pakistan,PK,PAK,586,EMR,2023,247504499,267,188,358,662000,465000,885000,0.39,,,1,0.02,3.9,2600,55,9700,20,15,25,49000,38000,61000,0.29,0.01,1.1,730,15,2700,20,15,26,49000,38000,63000,0.08,0.05,0.11,8,5,11,192,72,54,100
